_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
88588,marshall-scientific,2592,Hampton,6,10,164.1026,7,Marshall Scientific,marshallscientific.com,New Hampshire,NH,2472000,3842,2012,Health,42.9396,"Boston-Cambridge-Newton, MA-NH",-70.83673,1,3,Boston,
88589,tag-group,2593,Woburn,6,2,164.006,143,TAG Group,tag-ages.com,Massachusetts,MA,18750500,1801,2007,Financial Services,42.48877,"Boston-Cambridge-Newton, MA-NH",-71.15444,1,43,Boston,Vistage
88590,dental-warranty,2594,Irving,8,10,163.9979,11,Dental Warranty,dentalwarrantycorp.com,Texas,TX,3455249,75063,2009,Health,32.92043,"Dallas-Fort Worth-Arlington, TX",-96.98632,1,5,Dallas,
88591,mazzarino-construction-development,2595,Houston,22,20,163.9815,10,Mazzarino Construction & Development,mazzarinocon-dev.com,Texas,TX,25062400,77024,2006,Construction,29.77218,"Houston-The Woodlands-Sugar Land, TX",-95.5142,1,6,Houston,
37355,ecr-|-equitable-commercial-realty,2596,Austin,18,3,163.965,22,ECR | Equitable Commercial Realty,ecrtx.com,Texas,TX,5661043,78701,2010,Real Estate,30.27057,"Austin-Round Rock, TX",-97.74259,4,17,Austin,
88592,cxtec,2597,Syracuse,77,25,163.9421,400,CXtec,cxtec.com,New York,NY,196724000,13212,1878,Computer Hardware,43.1297,"Syracuse, NY",-76.13015,1,240,,
43781,northeast-private-client-group,2598,Shelton,58,3,163.9204,15,Northeast Private Client Group,northeastpcg.com,Connecticut,CT,3495161,6484,2010,Real Estate,41.30452,"Bridgeport-Stamford-Norwalk, CT",-73.13904,3,6,"Bridgeport-Stamford-Norwalk, CT",
20404,orsini-healthcare,2599,Elk Grove Village,17,10,163.8954,100,Orsini Healthcare,orsinihealthcare.com,Illinois,IL,405887949,60007,2004,Health,42.0086,"Chicago-Naperville-Elgin, IL-IN-WI",-87.99734,7,130,Chicago,
78311,ready-power,2600,New Orleans,33,20,163.8291,15,Ready Power,readypowerusa.com,Louisiana,LA,4075389,70125,2009,Construction,29.95207,"New Orleans-Metairie-Kenner, LA",-90.10331,2,10,New Orleans,
88593,thornhill,2601,Porter Ranch,2,1,163.7014,18,Thornhill,thornhillandassociates.com,California,CA,2313566,91327,2003,Insurance,34.26998,"Los Angeles-Long Beach-Anaheim, CA",-118.55012,1,11,Los Angeles,EO
88594,proforma-brandcentric-solutions,2602,Magnolia,998,17,163.6587,8,Proforma BrandCentric Solutions,proformabcs.com,Texas,TX,3214000,77354,2005,Business Products & Services,30.21686,,-95.64721,1,4,,
88595,cure-4-the-kids-foundation,2603,Las Vegas,1004,10,163.5762,95,Cure 4 the Kids Foundation,cure4thekids.org,Nevada,NV,40088379,89109,2007,Health,36.13172,"Las Vegas-Henderson-Paradise, NV",-115.16838,1,83,"Las Vegas, NV",
37920,tennessee-foundation-services,2604,College Grove,82,20,163.423,90,Tennessee Foundation Services,tfsrepair.com,Tennessee,TN,13214129,37046,2000,Construction,35.78188,"Nashville-Davidson--Murfreesboro--Franklin, TN",-86.70071,4,34,Nashville,
75551,strittmatter-air-conditioning-heating-plumbing,2605,Denton,8,20,163.0963,26,"Strittmatter Air Conditioning, Heating & Plumbing",strittmatters.com,Texas,TX,5496608,76205,1980,Construction,33.19263,"Dallas-Fort Worth-Arlington, TX",-97.12927,2,10,Dallas,
76566,ink-communications,2606,Austin,18,5,163.0208,33,INK Communications,ink-co.com,Texas,TX,4879590,78704,2004,Advertising & Marketing,30.24303,"Austin-Round Rock, TX",-97.76508,2,14,Austin,
