_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
2713,https://www.inc.com/profile/fit-my-feet-orthotic-lab-and-shoes,Fit My Feet Orthotic Lab and Shoes,http://fitmyfeet.com,SD,2200000,141.9958,Retail,22,2013,1,7,,Sioux Falls
2787,https://www.inc.com/profile/techfino,Techfino,techfino.com,PA,2200000,135.4433,Business Products & Services,13,2014,1,3,Philadelphia,Philadelphia
2930,https://www.inc.com/profile/downtown-catering-company,Downtown Catering Company,downtowncateringcompany.com,SC,2200000,127.6529,Food & Beverage,90,2003,1,60,,Bluffton
3178,https://www.inc.com/profile/thornhill,Thornhill,thornhillandassociates.com,CA,2200000,115.265,Insurance,19,2003,2,7,Los Angeles,Porter Ranch
3198,https://www.inc.com/profile/atlantic-petroleum,Atlantic Petroleum,http://atlanticpetro.com,TX,2200000,114.2746,Energy,11,2010,1,6,Houston,Houston
3302,https://www.inc.com/profile/mercury-mosaics,Mercury Mosaics,mercurymosaics.com,MN,2200000,109.3059,Manufacturing,27,2002,1,15,Minneapolis,Minneapolis
3432,https://www.inc.com/profile/that-agency,That Agency,http://thatagency.com,FL,2200000,102.6846,Advertising & Marketing,15,2004,1,8,Miami,West Palm Beach
3592,https://www.inc.com/profile/amr-care-group,AMR Care Group,amrcaregroup.com,NY,2200000,97.41,Health,68,2003,1,25,New York City,Jericho
3603,https://www.inc.com/profile/sweb-development,Sweb Development,swebdevelopment.com,TX,2200000,97.0282,Advertising & Marketing,17,2008,2,13,"San Antonio, TX",San Antonio
3659,https://www.inc.com/profile/hr-collaborative,HR Collaborative,hrcollaborative.net,MI,2200000,95.1412,Human Resources,25,2013,1,12,,Grand Rapids
3743,https://www.inc.com/profile/alorica,Alorica,alorica.com,CA,2200000,90.9001,Business Products & Services,96000,1999,2,53000,Los Angeles,Irvine
3998,https://www.inc.com/profile/red-group,RED Group,http://redgroup-llc.com,LA,2200000,81.1969,Engineering,11,2006,1,7,,New Orleans
4258,https://www.inc.com/profile/the-complete-child,The Complete Child,youngscholarsacademycolorado.com,CO,2200000,72.2806,Education,36,1995,1,24,,Colorado Springs
4261,https://www.inc.com/profile/pine-grove-financial-group,Pine Grove Financial Group,pinegrovefg.com,MN,2200000,72.237,Financial Services,7,2013,1,4,Minneapolis,St Paul
4415,https://www.inc.com/profile/insurance-brokers-west,Insurance Brokers West,ibwins.com,CA,2200000,67.5682,Insurance,9,2008,1,5,"Oxnard-Thousand Oaks-Ventura, CA",Moorpark
4426,https://www.inc.com/profile/big-data-supply,Big Data Supply,bigdatasupplyinc.com,CA,2200000,67.3503,Computer Hardware,9,2012,2,4,Los Angeles,Santa Ana
4557,https://www.inc.com/profile/windsong-productions,Windsong Productions,windsongpro.com,CA,2200000,64.0324,Media,13,2011,1,11,,Fresno
4878,https://www.inc.com/profile/quest-national-services,Quest National Services,questns.com,FL,2200000,55.9657,Business Products & Services,16,2008,1,12,"Orlando, FL",Orlando
4886,https://www.inc.com/profile/threepds,ThreePDS,threepds.com,TX,2200000,55.7459,Human Resources,40,2003,1,25,Dallas,Addison
