Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
Wilmar International,14.969,43.822,1.2155,40.933,456,Consumer Staples,Food Processing,Asia,Singapore,Singapore,,Khoon Kuok,http://www.forbes.com/companies/wilmar-international/,0.029694867,0.02773721,
Adidas,46.154,24.914,1.6711,18.208,457,Consumer Discretionary,Apparel/Accessories,Europe,Germany,Germany,,Kasper Rørsted,http://www.forbes.com/companies/adidas/,0.091778339,0.067074737,
Pernod Ricard,43.629,10.186,1.834,35.78,458,Consumer Staples,Beverages,Europe,France,France,,Alexandre Ricard,http://www.forbes.com/companies/pernod-ricard/,0.051257686,0.18005105,
Sampo,29.186,7.845,2.5254,58.881,459,Financials,Diversified Insurance,Europe,Finland,Finland,,Kari Stadigh,http://www.forbes.com/companies/sampo/,0.042889897,0.321912046,
Svenska Handelsbanken,22.636,6.8,1.9169,353.867,460,Financials,Major Banks,Europe,Sweden,Sweden,,Anders Bouvin,http://www.forbes.com/companies/svenska-handelsbanken/,0.005417007,0.281897059,
Sysco,32.728,57.832,1.287,18.629,461,Consumer Staples,Food Retail,North America,United States,Texas,Texas,Tom Bené,http://www.forbes.com/companies/sysco/,0.069085834,0.022254115,
Dell Technologies,57.178,78.737,-3.728,122.281,462,Information Technology,Computer Hardware,North America,United States,Texas,Texas,Michael Dell,http://www.forbes.com/companies/dell-technologies/,-0.030487157,-0.047347499,
Sunac China Holdings,19.573,10.046,1.653,95.685,463,Industrials,Construction Services,Asia,China,China,,Meng Wang,http://www.forbes.com/companies/sunac-china-holdings/,0.017275435,0.164543102,
DXC Technology,29.883,20.151,1.043,33.582,464,Consumer Discretionary,Business & Personal Services,North America,United States,Virginia,Virginia,Mike Lawrie,http://www.forbes.com/companies/dxc-technology/,0.031058305,0.051759218,
Consolidated Edison,23.873,12.17,1.565,48.9,465,Utilities,Electric Utilities,North America,United States,New York,New York,John McAvoy,http://www.forbes.com/companies/consolidated-edison/,0.03200409,0.128594906,
BAE Systems,27.45,23.595,1.0998,30.373,466,Industrials,Aerospace & Defense,Europe,United Kingdom,United Kingdom,,Charles Woodburn,http://www.forbes.com/companies/bae-systems/,0.036209792,0.04661157,
Fujifilm Holdings,19.988,21.756,1.577,31.341,467,Consumer Discretionary,Consumer Electronics,Asia,Japan,Japan,,Shigetaka Komori,http://www.forbes.com/companies/fujifilm-holdings/,0.050317476,0.072485751,
Kweichow Moutai,142.391,8.538,4.4456,21.362,468,Consumer Staples,Beverages,Asia,China,China,,Bao Li,http://www.forbes.com/companies/kweichow-moutai/,0.208107855,0.520684001,
Swiss Life Holding,12.263,19.367,1.0231,218.561,469,Financials,Life & Health Insurance,Europe,Switzerland,Switzerland,,Patrick Frost,http://www.forbes.com/companies/swiss-life-holding/,0.004681073,0.052826974,
FirstRand,30.278,6.707,1.9377,104.337,470,Financials,Major Banks,Africa,South Africa,South Africa,,Johannes Burger,http://www.forbes.com/companies/firstrand/,0.018571552,0.288907112,
Larsen & Toubro,28.889,17.789,1.1099,34.387,471,Industrials,Construction Services,Asia,India,India,,Sekharipuram Subrahmanyan,http://www.forbes.com/companies/larsen-toubro/,0.032276732,0.06239249,
IntercontinentalExchange,41.368,5.945,2.476,82.062,472,Financials,Investment Services,North America,United States,Georgia,Georgia,Jeffrey Sprecher,http://www.forbes.com/companies/intercontinentalexchange/,0.030172309,0.416484441,
Toyota Tsusho,13.142,58.566,1.175,40.527,473,Industrials,Trading Companies,Asia,Japan,Japan,,Jun Karube,http://www.forbes.com/companies/toyota-tsusho/,0.028993017,0.020062835,
LG Chem,24.717,22.731,1.7207,23.391,474,Materials,Specialized Chemicals,Asia,South Korea,South Korea,,Jin-Soo Park,http://www.forbes.com/companies/lg-chem/,0.073562481,0.075698385,
Centene,23.481,49.852,1.029,25.17,475,Health Care,Managed Health Care,North America,United States,Missouri,Missouri,Michael Neidorff,http://www.forbes.com/companies/centene/,0.040882002,0.020641098,
