year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,4981,Industrial Revolution,industrialrev.com,1/1/71,5835 Segale Park Drive C ,Tukwila,WA,98188,16.3 million,41,32,Consumer Products & Services,16276473
2017,4105,The FruitGuys,fruitguys.com,1/1/98,490 Eccles Ave ,South San Francisco,CA,94080,30.8 million,67,135,Food & Beverage,30763343
2017,2698,Wpromote,wpromote.com,1/1/01,2100 East Grand Avenue First Floor,El Segundo,CA,90245,28 million,128,282,Advertising & Marketing,27975758
2017,3864,Beacon Hill Staffing Group,beaconhillstaffing.com,1/1/00,152 Bowdoin Street ,Boston,MA,02108,388.8 million,75,510,Human Resources,388789316
2017,4683,Clarity Insights,clarityinsights.com,1/1/04,150 South Wacker Ste 2750,Chicago,IL,60606,73.8 million,49,319,IT Services,73789021
2017,4967,Taphandles,taphandles.com,1/1/99,1424 Fourth Ave Suite 201 ,Seattle,WA,98101,33.6 million,41,685,Business Products & Services,33587330
2017,3116,Advisors Mortgage Group,advisorsmortgage.com,1/1/99,1411 Highway 35 North ,Ocean,NJ,07712,39 million,106,300,Financial Services,38955416
2017,4774,Cellular Sales of Knoxville,cellularsales.com,1/1/93,9040 Executive Park Drive ,Knoxville,TN,37923,1.5 billion,47,7200,Retail,1488313857
2017,4547,Purchasing Power,purchasingpower.com,1/1/01,1349 West Peachtree Street NW Suite 1100,Atlanta,GA,30309,374.1 million,54,238,Business Products & Services,374085547
2017,2011,Inserso,inserso.com,1/1/94,1900 Gallows Road Suite 750,Vienna,VA,22182,34.4 million,186,250,Government Services,34363029
2017,4782,PFSbrands,pfsbrands.com,1/1/98,170 Commerce Drive PO Box 160,Holts Summit,MO,65043,52.8 million,47,111,Food & Beverage,52808416
2017,4853,Fierce,fierceinc.com,1/1/01,101 Yesler Way 101,Seattle,WA,98104,9.8 million,45,39,Business Products & Services,9775600
2017,4486,Traube Tent Company,traubetent.com,1/1/38,510 DD Road ,Columbia,IL,62236,5 million,55,28,Construction,5036279
2017,1682,Harmonia Holdings Group,harmonia.com,1/1/99,2020 Kraft Drive Suite 2400,Blacksburg,VA,24060,44.3 million,233,330,Software,44326332
2017,2764,OpTech,optechus.com,1/1/99,5440 Corporate Dr. Suite 260,Troy,MI,48098,51.4 million,124,349,IT Services,51398663
2017,3838,Veterans Home Care,veteranshomecare.com,1/1/03,11861 Westline Industrial Drive Suite 750,St. Louis,MO,63146,32.6 million,76,102,Health,32625398
2017,4253,Cornerstone Detention Products,cornerstonedetention.com,1/1/98,14000 AL Highway 20 ,Madison,AL,35756,36.9 million,62,162,Construction,36853000
2017,4953,Kelton Global,keltonglobal.com,1/1/03,12121 Bluff Creek Drive Suite 150 ,Los Angeles,CA,90094,26.2 million,42,85,Business Products & Services,26247117
2017,2950,OneDigital Health and Benefits,onedigital.com,1/1/00,"200 Galleria Parkway, Ste 1950 ",Atlanta,GA,30339,148.2 million,114,894,Insurance,148227000
2017,4965,BinaryTree,binarytree.com,1/1/93,3088 Route 27 Suite 2,Kendall Park,NJ,08824,28.6 million,41,136,Software,28595938
2017,4374,TSI Healthcare,tsihealthcare.com,1/1/97,101 Europa Drive Suite 200,Chapel Hill,NC,27517,25 million,59,150,Software,24965000
2017,3079,Burwood Group,burwood.com,1/1/97,125 S Wacker Drive Suite 2950,Chicago,IL,60606,113.2 million,107,169,IT Services,113244578
2017,2909,CE Group,cegroupinc.net,1/1/90,"200 E Grayson St, Suite 114 ",San Antonio,TX,78215,7.6 million,116,45,Advertising & Marketing,7584518
2017,4427,Infinity Systems Engineering,infinity.aero,1/1/96,13560 Northgate Estates Dr ,Colorado Springs,CO,80921,39.9 million,57,191,Government Services,39865577
